No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,26dRTrJjKH9pKCNHzZyj8u3B8NqrNn6SoSfWRbPpdDRS-So11111111111111111111111111111111111111112,DOPE-SOL,DOPE,26dRTrJjKH9pKCNHzZyj8u3B8NqrNn6SoSfWRbPpdDRS,SOL,So11111111111111111111111111111111111111112,146671.42,5640622.0,5640649.84,28364.23,400,2,9,1,11,2
2,ALbCJ7r81tPuFYpG2hEwsrk6WXBz73xVyWty992Fpump-So11111111111111111111111111111111111111112,Ron-SOL,Ron,ALbCJ7r81tPuFYpG2hEwsrk6WXBz73xVyWty992Fpump,SOL,So11111111111111111111111111111111111111112,60245.91,1310532.57,1310608.74,23509.54,400,1,6,1,7,2
3,3LMLQE54RDvpJ7G1tBtjAoSxqxUJmora7qPcKaM3pump-So11111111111111111111111111111111111111112,SS-SOL,SS,3LMLQE54RDvpJ7G1tBtjAoSxqxUJmora7qPcKaM3pump,SOL,So11111111111111111111111111111111111111112,3534.29,82899.18,82899.84,5417.06,400,1,3,1,4,2
4,Gw9fJ5k1gNyUTe6r4UahAKxqai2cZmsvh6YAfvn5pump-So11111111111111111111111111111111111111112,autopen-SOL,autopen,Gw9fJ5k1gNyUTe6r4UahAKxqai2cZmsvh6YAfvn5pump,SOL,So11111111111111111111111111111111111111112,910.76,11456.47,11456.38,5279.42,400,1,2,1,3,2
5,9d1HfhQztyZszDCFS5p2zX6FzNkAPQogvuR3oerXpump-So11111111111111111111111111111111111111112,Swasticoin-SOL,Swasticoin,9d1HfhQztyZszDCFS5p2zX6FzNkAPQogvuR3oerXpump,SOL,So11111111111111111111111111111111111111112,4228.39,122590.17,122590.04,3381.45,400,1,4,1,5,2
6,AkfgYS26wK9xBmh9gtAGZ2umtVecJYa4co5NayqWpump-So11111111111111111111111111111111111111112,HoodGold-SOL,HoodGold,AkfgYS26wK9xBmh9gtAGZ2umtVecJYa4co5NayqWpump,SOL,So11111111111111111111111111111111111111112,5181.14,91769.24,91769.03,1415.71,400,1,3,1,4,2
7,AQiE2ghyFbBsbsfHiTEbKWcCLTDgyGzceKEPWftZpump-So11111111111111111111111111111111111111112,doug-SOL,doug,AQiE2ghyFbBsbsfHiTEbKWcCLTDgyGzceKEPWftZpump,SOL,So11111111111111111111111111111111111111112,2841.85,15284.05,15284.07,1060.47,400,1,2,1,3,2
8,BZ9akYejPf5PPnNeDZxdQvJqtEzBkYzdUPLrxq8epump-So11111111111111111111111111111111111111112,Freggor-SOL,Freggor,BZ9akYejPf5PPnNeDZxdQvJqtEzBkYzdUPLrxq8epump,SOL,So11111111111111111111111111111111111111112,2195.63,18742.44,18742.53,1004.2,400,1,2,1,3,2
9,3rtBxzCmBKGwJRufpdCcmpnPsVi8LD1MdRc2wouwpump-So11111111111111111111111111111111111111112,HAILHITLER-SOL,HAILHITLER,3rtBxzCmBKGwJRufpdCcmpnPsVi8LD1MdRc2wouwpump,SOL,So11111111111111111111111111111111111111112,1085.69,16809.84,16809.73,868.26,400,1,3,1,4,2
10,6wg9VvjgpKqk3sAdCdBRAFcUxBuh3gpefDzLEmyeezy-So11111111111111111111111111111111111111112,YZY-SOL,YZY,6wg9VvjgpKqk3sAdCdBRAFcUxBuh3gpefDzLEmyeezy,SOL,So11111111111111111111111111111111111111112,533.88,502.44,502.44,502.44,400,1,1,1,2,2
