No.,pair_name,display_pair_name,token_1_name,token_1_address,token_2_name,token_2_address,total_tvl,total_cumulative_trade_volume,total_24h_trade_volume,total_min_30_trade_volume,required_total_trade_volume(z),raydium_pool_count,meteora_pool_count,required_raydium_pool_count(Y),sum_of_raydium_and_meteora_pool_count,required_sum_of_raydium_and_meteora_pool_count
1,A2sPuYg9kHS38skYk8SDmC49GmvFnbxEfprRLHUobonk-So11111111111111111111111111111111111111112,Mini-SOL,Mini,A2sPuYg9kHS38skYk8SDmC49GmvFnbxEfprRLHUobonk,SOL,So11111111111111111111111111111111111111112,580.34,23989.45,23989.47,558.14,400,1,2,1,3,2
2,JAJsBXny6n2YnPw7fpKASy8yFoWFKHB4khcVqjjobonk-So11111111111111111111111111111111111111112,BONKIT-SOL,BONKIT,JAJsBXny6n2YnPw7fpKASy8yFoWFKHB4khcVqjjobonk,SOL,So11111111111111111111111111111111111111112,934.9,2619.37,2619.39,697.61,400,1,1,1,2,2
3,ArV6LJWw7Gf8KR5u3vSpz2DNbztKQw1EExZ8XNbTpbVT-So11111111111111111111111111111111111111112,KOK-SOL,KOK,ArV6LJWw7Gf8KR5u3vSpz2DNbztKQw1EExZ8XNbTpbVT,SOL,So11111111111111111111111111111111111111112,2587.46,857.38,857.38,718.55,400,1,1,1,2,2
4,Cy7rUZ5rK2ukitsAVVfK5Kn8t35TR417RRuURPWoRBAF-So11111111111111111111111111111111111111112,CHIRP-SOL,CHIRP,Cy7rUZ5rK2ukitsAVVfK5Kn8t35TR417RRuURPWoRBAF,SOL,So11111111111111111111111111111111111111112,9510.3,17984.38,17984.47,2981.81,400,1,2,1,3,2
5,2DSFvQtdoqv7DjPgXL5tjTYJ3ABBnoBeTfAJTXNdbonk-So11111111111111111111111111111111111111112,TONIC-SOL,TONIC,2DSFvQtdoqv7DjPgXL5tjTYJ3ABBnoBeTfAJTXNdbonk,SOL,So11111111111111111111111111111111111111112,3827.38,32371.97,32371.74,3659.29,400,1,1,1,2,2
6,9Nc7qznSyhq1YV2r9EeNJgsfH7yjKVd6Zty3Suzibonk-So11111111111111111111111111111111111111112,BATCOIN-SOL,BATCOIN,9Nc7qznSyhq1YV2r9EeNJgsfH7yjKVd6Zty3Suzibonk,SOL,So11111111111111111111111111111111111111112,19479.09,247789.57,247789.65,5219.89,400,1,3,1,4,2
7,8x8YipfqZctyTadL2sETH8YbMtinZAXZi6CYFebfpump-So11111111111111111111111111111111111111112,RENTCOIN-SOL,RENTCOIN,8x8YipfqZctyTadL2sETH8YbMtinZAXZi6CYFebfpump,SOL,So11111111111111111111111111111111111111112,18996.94,484579.08,484579.3,9779.54,400,1,2,1,3,2
8,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk-So11111111111111111111111111111111111111112,Hosico-SOL,Hosico,9wK8yN6iz1ie5kEJkvZCTxyN1x5sTdNfx8yeMY8Ebonk,SOL,So11111111111111111111111111111111111111112,1146591.7,6211084.94,6211085.56,104650.28,400,2,6,1,8,2
9,2MDr15dTn6km3NWusFcnZyhq3vWpYDg7vWprghpzbonk-So11111111111111111111111111111111111111112,NOM-SOL,NOM,2MDr15dTn6km3NWusFcnZyhq3vWpYDg7vWprghpzbonk,SOL,So11111111111111111111111111111111111111112,223601.33,824303.45,824303.5,502690.7,400,1,3,1,4,2
10,CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk-So11111111111111111111111111111111111111112,LetsBONK-SOL,LetsBONK,CDBdbNqmrLu1PcgjrFG52yxg71QnFhBZcUE6PSFdbonk,SOL,So11111111111111111111111111111111111111112,977051.51,31568434.91,31569094.39,711925.71,400,3,9,1,12,2
